frame_count,1-h,1-s,1-v,condition,2-h,2-s,2-v,condition,3-h,3-s,3-v,conditon,4-h,4-s,4-v,condition,
132,169,255,255,alive,170,255,255,alive,170,255,255,alive,168,255,255,alive,
133,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
134,170,255,255,alive,170,255,255,alive,171,255,255,alive,169,255,255,alive,
135,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
136,170,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
137,170,255,255,alive,171,255,255,alive,169,255,255,alive,169,255,255,alive,
138,170,255,255,alive,171,255,255,alive,169,255,255,alive,169,255,255,alive,
139,169,255,255,alive,171,255,255,alive,169,255,255,alive,169,255,255,alive,
140,169,255,255,alive,171,255,255,alive,169,255,255,alive,170,255,255,alive,
141,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
142,169,255,255,alive,171,255,255,alive,169,255,255,alive,169,255,255,alive,
143,169,255,255,alive,171,255,255,alive,168,255,255,alive,168,255,255,alive,
144,169,255,255,alive,169,255,255,alive,168,255,255,alive,168,255,255,alive,
145,170,255,255,alive,170,255,255,alive,168,255,255,alive,168,255,255,alive,
146,170,255,255,alive,170,255,255,alive,168,255,255,alive,168,255,255,alive,
147,169,255,255,alive,170,255,255,alive,168,255,255,alive,169,255,255,alive,
148,170,255,255,alive,170,255,255,alive,168,255,255,alive,169,255,255,alive,
149,169,255,255,alive,171,255,255,alive,170,255,255,alive,168,255,255,alive,
150,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
151,169,255,255,alive,171,255,255,alive,169,255,255,alive,170,255,255,alive,
152,170,255,255,alive,170,255,255,alive,169,255,255,alive,171,255,255,alive,
153,170,255,255,alive,169,255,255,alive,169,255,255,alive,171,255,255,alive,
154,168,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
155,168,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
156,169,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
157,170,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
158,169,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
159,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
160,169,255,255,alive,168,255,255,alive,168,255,255,alive,170,255,255,alive,
161,169,255,255,alive,168,255,255,alive,168,255,255,alive,170,255,255,alive,
162,169,255,255,alive,168,255,255,alive,168,255,255,alive,170,255,255,alive,
163,169,255,255,alive,168,255,255,alive,168,255,255,alive,170,255,255,alive,
164,169,255,255,alive,168,255,255,alive,168,255,255,alive,170,255,255,alive,
165,169,255,255,alive,168,255,255,alive,168,255,255,alive,170,255,255,alive,
166,169,255,255,alive,168,255,255,alive,168,255,255,alive,170,255,255,alive,
167,169,255,255,alive,168,255,255,alive,168,255,255,alive,170,255,255,alive,
168,169,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
169,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
170,169,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
171,169,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
172,169,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
173,169,255,255,alive,170,255,255,alive,168,255,255,alive,170,255,255,alive,
174,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
175,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
176,169,255,255,alive,170,255,255,alive,168,255,255,alive,170,255,255,alive,
177,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
178,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
179,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
180,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
181,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
182,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
183,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
184,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
185,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
186,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
187,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
188,169,255,255,alive,170,255,255,alive,169,255,255,alive,171,255,255,alive,
189,169,255,255,alive,170,255,255,alive,169,255,255,alive,171,255,255,alive,
190,169,255,255,alive,169,255,255,alive,170,255,255,alive,170,255,255,alive,
191,169,255,255,alive,169,255,255,alive,168,255,255,alive,169,255,255,alive,
192,169,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
193,169,255,255,alive,168,255,255,alive,169,255,255,alive,169,255,255,alive,
194,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
195,170,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
196,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
197,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
198,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
199,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
200,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
201,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
202,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
203,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
204,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
205,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
206,169,255,255,alive,170,255,255,alive,168,255,255,alive,170,255,255,alive,
207,169,255,255,alive,170,255,255,alive,168,255,255,alive,171,255,255,alive,
208,169,255,255,alive,170,255,255,alive,170,255,255,alive,171,255,255,alive,
209,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
210,169,255,255,alive,169,255,255,alive,169,255,255,alive,171,255,255,alive,
211,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
212,169,255,255,alive,169,255,255,alive,169,255,255,alive,171,255,255,alive,
213,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
214,169,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
215,169,255,255,alive,169,255,255,alive,170,255,255,alive,170,255,255,alive,
216,168,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
217,168,255,255,alive,169,255,255,alive,170,255,255,alive,170,255,255,alive,
218,168,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
219,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
220,168,255,255,alive,169,255,255,alive,170,255,255,alive,170,255,255,alive,
221,169,255,255,alive,169,255,255,alive,169,255,255,alive,171,255,255,alive,
222,169,255,255,alive,169,255,255,alive,169,255,255,alive,171,255,255,alive,
223,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
224,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
225,169,255,255,alive,170,255,255,alive,168,255,255,alive,170,255,255,alive,
226,169,255,255,alive,169,255,255,alive,170,255,255,alive,169,255,255,alive,
227,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
228,169,255,255,alive,170,255,255,alive,170,255,255,alive,170,255,255,alive,
229,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
230,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
231,170,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
232,169,255,255,alive,169,255,255,alive,169,255,255,alive,170,255,255,alive,
233,169,255,255,alive,169,255,255,alive,168,255,255,alive,169,255,255,alive,
234,169,255,255,alive,169,255,255,alive,168,255,255,alive,169,255,255,alive,
