frame_count,1-h,1-s,1-v,2-h,2-s,2-v,3-h,3-s,3-v,4-h,4-s,4-v
170,96,255,255,96,255,255,95,255,255,95,255,255
171,96,255,255,96,255,255,95,255,255,94,255,255
172,96,255,255,96,255,255,95,255,255,94,255,255
173,96,255,255,96,255,255,95,255,255,94,255,255
174,96,255,255,96,255,255,95,255,255,95,255,255
175,96,255,255,96,255,255,95,255,255,95,255,255
176,96,255,255,96,255,255,95,255,255,95,255,255
177,96,255,255,96,255,255,95,255,255,95,255,255
178,96,255,255,96,255,255,95,255,255,95,255,255
179,96,255,255,95,255,255,95,255,255,95,255,255
180,96,255,255,96,255,255,95,255,255,95,255,255
181,96,255,255,95,255,255,96,255,255,95,255,255
182,96,255,255,95,255,255,95,255,255,95,255,255
183,96,255,255,95,255,255,95,255,255,95,255,255
184,96,255,255,95,255,255,95,255,255,94,255,255
185,97,255,255,95,255,255,96,255,255,95,255,255
186,96,255,255,96,255,255,95,255,255,95,255,255
187,96,255,255,94,255,255,96,255,255,95,255,255
188,96,255,255,97,255,255,95,255,255,95,255,255
189,96,255,255,93,255,255,95,255,255,95,255,255
190,96,255,255,95,255,255,95,255,255,95,255,255
191,96,255,255,94,255,255,95,255,255,95,255,255
192,96,255,255,94,255,255,95,255,255,95,255,255
193,96,255,255,94,255,255,95,255,255,95,255,255
194,96,255,255,94,255,255,95,255,255,95,255,255
195,97,255,255,96,255,255,95,255,255,95,255,255
196,97,255,255,95,255,255,95,255,255,94,255,255
197,97,255,255,95,255,255,95,255,255,95,255,255
198,97,255,255,95,255,255,95,255,255,95,255,255
199,97,255,255,96,255,255,95,255,255,95,255,255
200,97,255,255,96,255,255,95,255,255,95,255,255
201,96,255,255,96,255,255,95,255,255,95,255,255
202,97,255,255,96,255,255,95,255,255,95,255,255
203,97,255,255,96,255,255,95,255,255,95,255,255
204,97,255,255,96,255,255,95,255,255,95,255,255
205,97,255,255,96,255,255,95,255,255,96,255,255
206,97,255,255,96,255,255,95,255,255,95,255,255
207,97,255,255,96,255,255,95,255,255,95,255,255
208,96,255,255,96,255,255,96,255,255,95,255,255
209,97,255,255,96,255,255,96,255,255,95,255,255
210,97,255,255,96,255,255,96,255,255,95,255,255
211,97,255,255,96,255,255,96,255,255,95,255,255
212,97,255,255,96,255,255,96,255,255,95,255,255
213,97,255,255,96,255,255,95,255,255,95,255,255
214,97,255,255,96,255,255,95,255,255,95,255,255
215,97,255,255,94,255,255,95,255,255,95,255,255
216,97,255,255,96,255,255,95,255,255,95,255,255
217,97,255,255,96,255,255,96,255,255,95,255,255
218,97,255,255,95,255,255,95,255,255,94,255,255
219,97,255,255,95,255,255,95,255,255,95,255,255
220,97,255,255,95,255,255,96,255,255,95,255,255
221,96,255,255,96,255,255,96,255,255,95,255,255
222,96,255,255,96,255,255,95,255,255,95,255,255
223,96,255,255,96,255,255,95,255,255,95,255,255
224,96,255,255,96,255,255,95,255,255,95,255,255
225,96,255,255,95,255,255,95,255,255,95,255,255
226,96,255,255,96,255,255,95,255,255,95,255,255
227,96,255,255,96,255,255,96,255,255,95,255,255
228,97,255,255,96,255,255,96,255,255,95,255,255
229,97,255,255,96,255,255,96,255,255,95,255,255
230,96,255,255,96,255,255,96,255,255,95,255,255
231,96,255,255,96,255,255,96,255,255,95,255,255
232,97,255,255,96,255,255,95,255,255,95,255,255
233,97,255,255,94,255,255,96,255,255,95,255,255
234,96,255,255,95,255,255,96,255,255,95,255,255
235,96,255,255,95,255,255,95,255,255,95,255,255
236,97,255,255,95,255,255,96,255,255,95,255,255
237,97,255,255,95,255,255,95,255,255,95,255,255
238,97,255,255,96,255,255,95,255,255,95,255,255
239,97,255,255,96,255,255,95,255,255,95,255,255
240,97,255,255,95,255,255,95,255,255,95,255,255
241,97,255,255,94,255,255,95,255,255,95,255,255
242,97,255,255,94,255,255,95,255,255,95,255,255
243,97,255,255,96,255,255,96,255,255,95,255,255
244,97,255,255,96,255,255,95,255,255,95,255,255
245,97,255,255,95,255,255,95,255,255,95,255,255
246,97,255,255,96,255,255,95,255,255,95,255,255
247,97,255,255,96,255,255,94,255,255,95,255,255
248,97,255,255,96,255,255,95,255,255,95,255,255
249,96,255,255,96,255,255,95,255,255,95,255,255
250,97,255,255,97,255,255,96,255,255,95,255,255
251,97,255,255,95,255,255,95,255,255,95,255,255
252,97,255,255,95,255,255,95,255,255,95,255,255
253,97,255,255,95,255,255,95,255,255,95,255,255
254,97,255,255,95,255,255,96,255,255,95,255,255
255,96,255,255,95,255,255,96,255,255,95,255,255
256,96,255,255,95,255,255,96,255,255,95,255,255
257,96,255,255,95,255,255,96,255,255,95,255,255
258,96,255,255,95,255,255,95,255,255,95,255,255
259,96,255,255,95,255,255,95,255,255,95,255,255
260,96,255,255,95,255,255,95,255,255,95,255,255
261,96,255,255,95,255,255,95,255,255,95,255,255
262,96,255,255,95,255,255,95,255,255,94,255,255
263,96,255,255,95,255,255,96,255,255,94,255,255
264,96,255,255,95,255,255,96,255,255,94,255,255
265,96,255,255,95,255,255,96,255,255,94,255,255
266,96,255,255,96,255,255,94,255,255,95,255,255
267,96,255,255,96,255,255,94,255,255,95,255,255
268,96,255,255,96,255,255,95,255,255,95,255,255
269,96,255,255,95,255,255,95,255,255,95,255,255
270,96,255,255,96,255,255,95,255,255,95,255,255
271,97,255,255,95,255,255,94,255,255,95,255,255
272,96,255,255,96,255,255,94,255,255,95,255,255
273,96,255,255,96,255,255,94,255,255,95,255,255
274,97,255,255,96,255,255,95,255,255,94,255,255
275,97,255,255,95,255,255,95,255,255,93,255,255
276,97,255,255,95,255,255,96,255,255,94,255,255
277,97,255,255,95,255,255,95,255,255,94,255,255
278,97,255,255,95,255,255,95,255,255,94,255,255
279,97,255,255,96,255,255,96,255,255,94,255,255
280,96,255,255,94,255,255,95,255,255,94,255,255
281,96,255,255,95,255,255,95,255,255,93,255,255
282,96,255,255,96,255,255,95,255,255,93,255,255
283,96,255,255,95,255,255,95,255,255,95,255,255
284,97,255,255,96,255,255,95,255,255,94,255,255
